"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",21709334.096,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",23035800.532,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",662368.976,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",684102.076,"P","Provisional value"
"JPN","Japan","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",5357654.205,,
"JPN","Japan","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",5372136.404,"E","Estimated value"
"SWE","Sweden","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",513568.914,,
"SWE","Sweden","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",523769.399,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",1162357.926,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",1217511.23,,
"SVN","Slovenia","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",73671.984,,
"SVN","Slovenia","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",76017.953,,
