"LOCATION","Country","VAR","Variable","EDI","Edition","Frequency","Time","Unit","Value"
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",9.3367e+10
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",-4.8374e+10
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",-4.8395e+10
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",1.4685e+10
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",1.19547e+11
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",-1.0017e+10
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",-1.9212e+10
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",-1.6098e+10
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",1.10523e+11
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",-2.117e+09
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",-3.0053e+10
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",5.111e+09
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",5.1453e+10
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",5.388e+09
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",-5.239e+10
"CZE","Czech Republic",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",1.1084e+10
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",49836249515
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",38017958492
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",44209424511
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",35832367483
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",40126657653
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",43765387115
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",35132092846
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",47248862387
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",52079658921
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",47341572036
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",38888799256
"DNK","Denmark",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",34949969786
