"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units",,,98.9532,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-05","May-2020","IDX","Index","0","Units",,,98.93892,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units",,,99.25421,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units",,,99.44626,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units",,,99.5276,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units",,,99.49156,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units",,,99.19838,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units",,,98.93127,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units",,,98.94215,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2021-01","Jan-2021","IDX","Index","0","Units",,,99.06866,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2021-02","Feb-2021","IDX","Index","0","Units",,,99.35714,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2021-03","Mar-2021","IDX","Index","0","Units",,,99.75726,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2021-04","Apr-2021","IDX","Index","0","Units",,,100.0774,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2021-05","May-2021","IDX","Index","0","Units",,,100.4782,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUT","Austria","M","Monthly","2021-06","Jun-2021","IDX","Index","0","Units",,,100.8111,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,100.7192,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,100.7029,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,100.4563,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,100.0894,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,99.86048,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,99.85458,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,100.0103,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,100.146,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,100.168,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,100.0366,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,99.82422,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,99.6048,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,99.4431,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,99.47266,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,99.59211,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,99.73906,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,99.81118,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,99.70133,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,99.24569,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units",,,98.81916,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-05","May-2020","IDX","Index","0","Units",,,98.94127,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units",,,99.22557,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units",,,99.26929,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units",,,99.27946,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units",,,99.48296,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units",,,99.71165,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units",,,100.0486,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units",,,100.4783,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2021-01","Jan-2021","IDX","Index","0","Units",,,100.711,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2021-02","Feb-2021","IDX","Index","0","Units",,,100.8866,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2021-03","Mar-2021","IDX","Index","0","Units",,,101.1599,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2021-04","Apr-2021","IDX","Index","0","Units",,,101.5245,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2021-05","May-2021","IDX","Index","0","Units",,,101.9649,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","BEL","Belgium","M","Monthly","2021-06","Jun-2021","IDX","Index","0","Units",,,102.476,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,104.1208,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,103.9601,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,103.8517,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,103.9609,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,103.9629,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,103.835,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,103.5545,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,103.3076,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,103.2249,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,103.3274,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,103.4732,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,103.418,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,103.2163,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,103.0846,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,103.1123,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,103.1473,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,102.8779,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,102.2887,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,101.3573,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units",,,100.3154,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-05","May-2020","IDX","Index","0","Units",,,100.3077,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units",,,100.6388,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units",,,100.8557,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units",,,100.6353,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units",,,100.0313,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units",,,99.14885,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units",,,98.69373,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units",,,98.78033,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2021-01","Jan-2021","IDX","Index","0","Units",,,98.75878,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2021-02","Feb-2021","IDX","Index","0","Units",,,98.79359,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2021-03","Mar-2021","IDX","Index","0","Units",,,99.20275,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2021-04","Apr-2021","IDX","Index","0","Units",,,100.1772,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2021-05","May-2021","IDX","Index","0","Units",,,101.0714,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","CZE","Czech Republic","M","Monthly","2021-06","Jun-2021","IDX","Index","0","Units",,,101.8312,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,101.2263,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,101.1078,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,100.99,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,100.8474,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,100.7141,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,100.6411,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,100.6665,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,100.7245,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,100.804,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,100.7066,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,100.561,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,100.6334,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,100.654,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,100.6667,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,100.7415,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,100.8189,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,100.7378,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units",,,100.4438,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units",,,99.90746,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","DNK","Denmark","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units",,,99.47932,,
