"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,-0.21,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,-0.25,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,-0.34,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,-0.38,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,-0.39,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,-0.36,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,-0.21,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,-0.04,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,0.04,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,0.18,,
"IRLTLT01","Long-term interest rate","BEL","Belgium","ST","Level, ratio or index","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,0.12,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,2.353684211,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,2.488636364,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,2.407619048,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,2.057894737,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,1.953636364,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,1.907368421,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,1.712380952,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,1.724285714,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,1.664545455,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,1.4625,,
"IRLTLT01","Long-term interest rate","CAN","Canada","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,1.519090909,,
