"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,5588600000,,
"FIN","Finland","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,5561600000,,
"FIN","Finland","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,5374500000,,
"FRA","France","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,40791500000,,
"FRA","France","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,42745400000,,
"FRA","France","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,41246200000,,
"FRA","France","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,43105900000,,
"FRA","France","703","International trade in goods - exports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,42444500000,,
"FRA","France","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,47500900000,,
"FRA","France","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,48393700000,,
"FRA","France","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,47274600000,,
"FRA","France","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,47996900000,,
"FRA","France","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,48272800000,,
"DEU","Germany","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,109893900000,,
