"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q3","Q3-2017","NATCUR","National currency","0","Units",,,38888799256,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q4","Q4-2017","NATCUR","National currency","0","Units",,,34949969786,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q1","Q1-2018","NATCUR","National currency","0","Units",,,30397554016,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q2","Q2-2018","NATCUR","National currency","0","Units",,,23980346971,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q3","Q3-2018","NATCUR","National currency","0","Units",,,39219662320,,
"DNK","Denmark","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q4","Q4-2018","NATCUR","National currency","0","Units",,,40092436693,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q1","Q1-2015","NATCUR","National currency","0","Units",,,-955000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,-1014000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,593000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,-133000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,-609000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q2","Q2-2016","NATCUR","National currency","0","Units",,,-1250000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q3","Q3-2016","NATCUR","National currency","0","Units",,,858000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q4","Q4-2016","NATCUR","National currency","0","Units",,,-612000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q1","Q1-2017","NATCUR","National currency","0","Units",,,32000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q2","Q2-2017","NATCUR","National currency","0","Units",,,-1947000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q3","Q3-2017","NATCUR","National currency","0","Units",,,395000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q4","Q4-2017","NATCUR","National currency","0","Units",,,796000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q1","Q1-2018","NATCUR","National currency","0","Units",,,-593000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q2","Q2-2018","NATCUR","National currency","0","Units",,,-2905000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q3","Q3-2018","NATCUR","National currency","0","Units",,,-722000000,,
"FIN","Finland","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q4","Q4-2018","NATCUR","National currency","0","Units",,,-139000000,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q1","Q1-2015","NATCUR","National currency","0","Units",,,380836088,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,1000871072,,
"FRA","France","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,-2651595454,,
