"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,-0.4495,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,-0.5165,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,-0.434285714,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,-0.523043478,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,-0.523333333,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,-0.524545455,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,-0.607272727,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,-0.615238095,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,-0.619,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,-0.5835,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,-0.4455,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,-0.364782609,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,-0.325,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,-0.2235,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,-0.288636364,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,0.125,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.13,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,0.085,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,-0.01,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,0,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,-0.015,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,-0.095,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,-0.045,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,-0.095,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,-0.165,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,-0.16,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,-0.28,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,-0.215,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,-0.15,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,-0.08,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,-0.025,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,-0.065,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,-0.155,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,0.005,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,-0.04,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,0,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,0.03,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,0.01,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,0.045,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,0.015,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,0.04,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,0.03,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,0.02,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,0.055,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,0.15,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,0.12,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,0.09,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,0.08,,
"IRLTLT01","Long-term interest rate","JPN","Japan","ST","Level, ratio or index","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,0.05,,
"IRLTLT01","Long-term interest rate","GBR","United Kingdom","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,1.5023,,
"IRLTLT01","Long-term interest rate","GBR","United Kingdom","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,1.5462,,
"IRLTLT01","Long-term interest rate","GBR","United Kingdom","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,1.4541,,
