"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.8966666,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,0.77,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,0.1233333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,0.09666666,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,0.03666667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,0.01666667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,0.03666667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-01","Jan-2018","PC","Percentage","0","Units",,,1.79,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-02","Feb-2018","PC","Percentage","0","Units",,,1.77,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-03","Mar-2018","PC","Percentage","0","Units",,,1.93,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-04","Apr-2018","PC","Percentage","0","Units",,,2.06,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-05","May-2018","PC","Percentage","0","Units",,,1.96,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-06","Jun-2018","PC","Percentage","0","Units",,,2.07,,
